Name,Party,Constituency,Date of Birth,Education,State,Term,Body
Magaji Kankara,NPN,Kankara,07/07/37,,Kaduna,1979 - 1983,house
Bala Kantoma,NPN,Kaduna,12/04/45,,Kaduna,1979 - 1983,house
Samuel B. Magani,NPP,Zongo-kataf,21/04/44,,Kaduna,1979 - 1983,house
Datti M. A. Malumfashi,PRP,Malumfashi,13/03/43,"Diploma in Accounting Cost Price, Budget & Investment Policy",Kaduna,1979 - 1983,house
Garba Musa,NPN,Jibiya,1952,,Kaduna,1979 - 1983,house
Ibrahim Nagodiya,PRP,Lere,23/11/30,,Kaduna,1979 - 1983,house
Audu Paki,,Ikara-Kubau,,,Kaduna,1979 - 1983,house
Shehu Ruma,,Batsari,,,Kaduna,1979 - 1983,house
Shehu Y. Runka,,,,,Kaduna,1979 - 1983,house
Rabiu Sabiu,,Funtua,,,Kaduna,1979 - 1983,house
Mohammed Kabir Umar,,Kaduna South,1945,,Kaduna,1979 - 1983,house
Badamasi U. Yamma,PRP,Faskari,1943,,Kaduna,1979 - 1983,house
Abubakar Yunusa,NPN,Chawai Kauru,1944,,Kaduna,1979 - 1983,house
Ahmed Tijani Yusufu,NPN,Ingawa,"October, 1945",,Kaduna,1979 - 1983,house
Ibrahim Zailani,NPN,Zaria Central,,,Kaduna,1979 - 1983,house
Dajuma A. Zubairu,NPP,Jemmandth,19/09/50,,Kaduna,1979 - 1983,house
Sani Abubakar,NPN,Roni,,,Kano,1979 - 1983,house
S. Abubakar,PRP,Dawakin-Tofa,1947,,Kano,1979 - 1983,house
Aliyu Adamu,PRP,Ungogo,15/01/48,,Kano,1979 - 1983,house
Sarki Adamu,PRP,Dawakin-Kudu,04/04/39,HND Marketing & Pub. Admin,Kano,1979 - 1983,house
Muhd A. Tukur Fagam,PRP,Gwaram,10/10/52,,Kano,1979 - 1983,house
Musa A. Alasan,PRP,Tudun Wada,1938,,Kano,1979 - 1983,house
Y. Bichi,PRP,Bichi,Aug. 1953,,Kano,1979 - 1983,house
Sarki Gambo,GNPP,Takai/Kachako,1947,,Kano,1979 - 1983,house
Musa Gammo,NPN,Kabo,1945,,Kano,1979 - 1983,house
Husaini A. Gajango,PRP,Malam Madori,15/06/51,,Kano,1979 - 1983,house
Nasidi Garba,PRP,Kura,1941,,Kano,1979 - 1983,house
Uba Illiya Garki,PRP,Garki,1953,,Kano,1979 - 1983,house
Umaru Sule Garo,PRP,Shanono,11/01/53,,Kano,1979 - 1983,house
Yusuf Nadabo Gaya,PRP,Gaya North,24/08/38,Diploma in Treasury,Kano,1979 - 1983,house
Mohammed D. Hadejia,PRP,Birniwa,,,Kano,1979 - 1983,house
Sidi Ali Hamed,PRP,Danbatta,,,Kano,1979 - 1983,house
A. Sadik Harith,PRP,Kiru,,,Kano,1979 - 1983,house
Saidu A. Ibrahim,,Kiryawa,25/06/44,Diploma in Mining,Kano,1979 - 1983,house
Garba Isyaku,PRP,Minjibir,20/08/49,Diploma in Secretariate Studies,Kano,1979 - 1983,house
A. Abdulkadir Ja'e,NPN,Rano,1926,,Kano,1979 - 1983,house
Mohammed S. Kaugama,PRP,Auyo/Kaugama,,,Kano,1979 - 1983,house
Saidu Kanti,NPN,Hade,1942,,Kano,1979 - 1983,house
Salisu M. Kanya,NPN,Babura,25/06/42,,Kano,1979 - 1983,house
M. Isyaku Gumawa,PRP,Gabasawa,1942,,Kano,1979 - 1983,house
Sule Lamido,PRP,Birnin Kudu,1948,,Kano,1979 - 1983,house
Ado Maitama,PRP,Gezawa,1947,,Kano,1979 - 1983,house
S. Maihula,PRP,Bagwa,,,Kano,1979 - 1983,house
Adamu Matoya,NPN,Gumel South,1924,,Kano,1979 - 1983,house
Umaru Mohammed,NPN,Gumel North,05/04/45,,Kano,1979 - 1983,house
Hassan Muhammed,PRP,Kafin/Hausa/Bulangu,1939,,Kano,1979 - 1983,house
Isa Mohammed,PRP,Jahun,1940,,Kano,1979 - 1983,house
Lawan Mohammed,NPN,Kunchi/Isanyawa,1947,,Kano,1979 - 1983,house
Junaidu S. Muhammed,PRP,West Ward,06/09/31,,Kano,1979 - 1983,house
Mustapha Muhammed,PRP,Rimingado,02/10/40,,Kano,1979 - 1983,house
M. I. Mustapha,PRP,Gaya South,01/12/47,B.Sc Geography,Kano,1979 - 1983,house
Moh'd Lawal Na-Rogo,PRP,Karaye,30/12/52,,Kano,1979 - 1983,house
Umaru Sadiq,,Kumbotso,,,Kano,1979 - 1983,house
A. Musa Salihi,,Kunkure,,,Kano,1979 - 1983,house
M. Rabiu Sha'aibu,,Ringim Gado,,,Kano,1979 - 1983,house
Bako Sitti,PRP,Suma' Ila,1938,,Kano,1979 - 1983,house
Rabiu Tabako,PRP,Gwarzo,1946,,Kano,1979 - 1983,house
Labaran Tanko,PRP,South East,14/04/43,,Kano,1979 - 1983,house
Tafida Usman,PRP,Kazaure,1928,,Kano,1979 - 1983,house
Moh'du A. Tudun-Wada,PRP,Waje/Nasarawa,16/11/1948,,Kano,1979 - 1983,house
B. Wudil,PRP,Wudil,15/06/40,,Kano,1979 - 1983,house
M. Mutari Adamu,PRP,Dutse,12/12/1947,,Kano,1979 - 1983,house
Aremu Yahaya,GNPP,Ilorin East,01/09/41,,Kwara,1979 - 1983,house
Isaac Ayodeji Olaleru,UPN,Oyun,06/01/37,,Kwara,1979 - 1983,house
Musa Inuwa,GNPP,Borgu,02/01/1934,Northern Dispenser Cert,Kwara,1979 - 1983,house
Jimoh Damisa,NPN,Okehi Adavi,14/04/45,,Kwara,1979 - 1983,house
Adewara Lawal,UPN,Ifelodun,08/08/1949,B.Sc in Political Science,Kwara,1979 - 1983,house
O. Sanda Muhammudu,NPN,Ilorin West,1928,,Kwara,1979 - 1983,house
Peter Olayemi Obaoye,UPN,Irepodun,06/12/44,,Kwara,1979 - 1983,house
Salawu Atima,NPN,Okehi-Isunwe,23/09/44,,Kwara,1979 - 1983,house
Shuaibu Julde,NPN,Edu,1941,,Kwara,1979 - 1983,house
Stephen B. Abodunde,UPN,Oyi,06/03/37,"PGD, Diploma in French",Kwara,1979 - 1983,house
Addullahi Umaru,NPN,Kogi,,Diploma Sec. Studies,Kwara,1979 - 1983,house
Yunusa Folorunsho,NPN,Asa,17/03/40,B.Sc Sociology,Kwara,1979 - 1983,house
Yusuf A. Amoka,NPN,Okene,1927,,Kwara,1979 - 1983,house
Yusuf Ibn Muhammed,UPN,Moro,08/08/51,Diploma in French,Kwara,1979 - 1983,house
Samuel O. Adesida,UPN,Shomolu,06/01/31,SSCE,Lagos,1979 - 1983,house
A. G. O. Ajimotokan,,Ikeja,,,Lagos,1979 - 1983,house
Adekunle L. Alli,UPN,Lagos-South,14/03/34,,Lagos,1979 - 1983,house
M. A. Amzart,UPN,Ikorudu,20/03/35,,Lagos,1979 - 1983,house
Abiola Babatope,UPN,Mushin Central II,29/09/47,B.sc Geography,Lagos,1979 - 1983,house
T. O. Badejo,UPN,Mushin Central I,29/03/36,Grade II Teacher's Cert,Lagos,1979 - 1983,house
Dele Fayemi,UPN,Badagry,,,Lagos,1979 - 1983,house
Olagbolahan Ijaola,UPN,Lagos North-East,28/09/33,,Lagos,1979 - 1983,house
Akin Ogunseye,UPN,Lagos South II,07/01/29,,Lagos,1979 - 1983,house
Tajudeen O. Olusi,UPN,Lagos South,13/10/36,GCE O/L,Lagos,1979 - 1983,house
G. B. Sadiku,UPN,Epe,,,Lagos,1979 - 1983,house
Rasheed A. Shitta-Bey,UPN,Lagos North-Central,,,Lagos,1979 - 1983,house
Suleiman Aliyu,NPN,Magama,22/04/40,,Niger,1979 - 1983,house
Mohammed G. Doko,NPN,Bida-South,05/08/32,,Niger,1979 - 1983,house
Abdurrahman H. Enaji,NPP,Lavun,,,Niger,1979 - 1983,house
Idris Ibrahim,,Minna-North,,,Niger,1979 - 1983,house
Abdullahi Isah,NPN,Mariga,1938,,Niger,1979 - 1983,house
M. Rabiu Is'haq,NPN,Abuja,18/03/38,,Niger,1979 - 1983,house
Ibrahim Madaki,NPN,Agaie/Lapai,1923,,Niger,1979 - 1983,house
M. B. Mustapha,NPN,Bida-North,1936,,Niger,1979 - 1983,house
Lahaji Yinusa Paiko,NPN,Minna-South,15/03/52,,Niger,1979 - 1983,house
Ahmed Tanko Ushama,NPN,Rafi,02/04/36,,Niger,1979 - 1983,house
O. Akingboro,UPN,Oke-Ona/Owu/Gbagura,26/04/36,Grade II Teacher Cert,Ogun,1979 - 1983,house
D. O. Bankole,UPN,Egbado/Ifoyin/Ilaro,28/08/26,,Ogun,1979 - 1983,house
Fola Omidiji,UPN,Egba Alake,06/07/46,L.L.B,Ogun,1979 - 1983,house
A. Mako,UPN,Ijebu North,11/09/18,"Teacher Diploma, B.Sc Pure. Sci",Ogun,1979 - 1983,house
Saula A. Oduntan,UPN,Ifo/Ota,15/02/1936,,Ogun,1979 - 1983,house
S. A. Ogunfuyi,UPN,Ijebu East,20/09/34,,Ogun,1979 - 1983,house
O. Ogunkoya,UPN,Ijebu-Remo,,,Ogun,1979 - 1983,house
Oladele Ogunsiji,UPN,Egbado-North,18/12/46,"B. Sc Agric, Ph.D in Agric.",Ogun,1979 - 1983,house
T. Ogunsiji,UPN,Odeda,06/07/32,,Ogun,1979 - 1983,house
S. A. Olaewe,UPN,Ado/Igbesa/Ipokia,07/02/37,,Ogun,1979 - 1983,house
M. A. Olukoya,UPN,Ijebu-Ode,,,Ogun,1979 - 1983,house
M. O. Oni,UPN,Obafemi/Owode,25/12/44,,Ogun,1979 - 1983,house
B. J. Abegunde,UPN,Ekiti East,21/04/47,B.A Mass.com,Ondo,1979 - 1983,house
S. A. Adeagbo,UPN,Ero North,30/04/36,,Ondo,1979 - 1983,house
A. Adeola,UPN,Ijero,06/04/39,B.Sc Secondary Education,Ondo,1979 - 1983,house
Z. O. Adetula,UPN,Owo,24/08/28,,Ondo,1979 - 1983,house
Emmanuel D. Adu,UPN,Ekiti North District,04/04/40,B.Sc Econs,Ondo,1979 - 1983,house
F. A. Akinbisehin,UPN,Ifesowopo,26/06/34,,Ondo,1979 - 1983,house
T. O. Akinbode,UPN,Owo,09/02/30,,Ondo,1979 - 1983,house
I. F. Akinyosoye,UPN,Ondo,23/09/37,,Ondo,1979 - 1983,house
Faji Fajobi,UPN,Ekiti South,June 1925,"LLB, BL",Ondo,1979 - 1983,house
G. A. Falayi,UPN,Ekiti Central,01/01/39,,Ondo,1979 - 1983,house
Olaiya Fagbamigbe,UPN,Akure,22/08/28,SSCE,Ondo,1979 - 1983,house
B. E. Kayode,UPN,Idanre/Ifedore,03/06/36,,Ondo,1979 - 1983,house
J. A. Ogunleye,UPN,Akoko North,10/01/31,,Ondo,1979 - 1983,house
Opayemi Ola,UPN,Ekiti West,,,Ondo,1979 - 1983,house
R. A. Olagunju,UPN,Akoko South,"October, 1934",,Ondo,1979 - 1983,house
Olu Olofinlade,UPN,Ero South,27/08/33,,Ondo,1979 - 1983,house
S. O. Olowu,UPN,Ikale,"December, 1940","L.L.B, B.L",Ondo,1979 - 1983,house
C. A. Oluwatusin,UPN,Ekiti South/West,20/12/20,,Ondo,1979 - 1983,house
Olusola Omoniran,UPN,Ilaje/Ese,08/10/34,,Ondo,1979 - 1983,house
F. A. O. Osekita,UPN,Ekiti Central,13/03/29,,Ondo,1979 - 1983,house
Oladipupo J. Owoseni,UPN,Ekiti South,20/02/29,National Cert in Business Administration,Ondo,1979 - 1983,house
Akin Rotimi,UPN,Ekiti North District,25/11/40,B.Sc in Political Science,Ondo,1979 - 1983,house
J. A. Abiona,UPN,Ifelodun East,25/12/33,,Oyo,1979 - 1983,house
Tunji S. Abolade,UPN,Ifelodun Central,01/11/39,,Oyo,1979 - 1983,house
R. O. Adegoke,UPN,Ibarapa,29/07/36,,Oyo,1979 - 1983,house
I. A. Adejare,UPN,Ede North,1925,,Oyo,1979 - 1983,house
S. A. Adekule,UPN,Iseyin,15/06/30,,Oyo,1979 - 1983,house
David Adelu Adeniyi,UPN,Ibadan East,03/06/31,Advance Diploma in Trade Union Organisation.,Oyo,1979 - 1983,house
Samuel A. Adesina,UPN,Kajola,02/06/37,,Oyo,1979 - 1983,house
Gbadebo E. Adewumi,UPN,Osogbo South,27/11/33,,Oyo,1979 - 1983,house
Olusola Afolabi,NPN,Oyo East,26/09/43,,Oyo,1979 - 1983,house
A. Afonja,UPN,Oyo Central,23/11/39,B.Sc in Maths,Oyo,1979 - 1983,house
Debo Akande,UPN,Ibadan North,09/06/38,,Oyo,1979 - 1983,house
Samuel A. Akinloye,UPN,Ejigbo,27/10/30,"Grade II & III Teacher's Cert, Diploma in Education",Oyo,1979 - 1983,house
Yomi Akintola,,Ogbomoso Central,,,Oyo,1979 - 1983,house
J. O. Akintunde,UPN,Oluyole,01/10/36,,Oyo,1979 - 1983,house
Sopo Akinwale,UPN,Lagelu South,31/03/30,,Oyo,1979 - 1983,house
Razaq O. Apalara,UPN,Ifedapo,17/08/49,,Oyo,1979 - 1983,house
Moses A. Ayanbekun,UPN,Oranmiyan South,22/04/30,,Oyo,1979 - 1983,house
John K. Fadeyi,UPN,Ila,27/02/27,,Oyo,1979 - 1983,house
Saliu Hadji Famuyide,UPN,Ilesha,,,Oyo,1979 - 1983,house
Johnson O. Fatola,UPN,Akinyele North,23/10/27,SSCE,Oyo,1979 - 1983,house
Dauda A. Ibrahim,UPN,Irewole West,20/08/36,,Oyo,1979 - 1983,house
Samuel O. Ige,,Obokun,,,Oyo,1979 - 1983,house
Latifu B. Kataiyeyanjue,UPN,Iwo East,1935,,Oyo,1979 - 1983,house
Ladipo Labiyi,UPN,Irewole East,15/06/19,Diploma in Bus. Admin org Mgt. Cert in Tax Admin.,Oyo,1979 - 1983,house
S. G. Laosebikan,UPN,Iwo West,26/08/30,B.A Modern History,Oyo,1979 - 1983,house
Olakanmi Obiyemi,UPN,Atakumosa,,,Oyo,1979 - 1983,house
J. O. Odebumi,NPN,Ogbomoso South,15/08/35,,Oyo,1979 - 1983,house
Stephen Ade Odetoyinbo,UPN,Osogbo North,11/11/29,,Oyo,1979 - 1983,house
Michael A. Ojo,UPN,Irepodun,08/03/36,,Oyo,1979 - 1983,house
Amos Okunlola Dairo,UPN,Odo/Otin,28/08/28,Teacher Grade II Cert.,Oyo,1979 - 1983,house
B. O. Olabode,UPN,Ogbomoso North,22/04/36,,Oyo,1979 - 1983,house
Oladepo Olaniyan,UPN,Irepodun,01/04/41,,Oyo,1979 - 1983,house
L. B. Olaniran,UPN,Akinyele West,15/02/36,,Oyo,1979 - 1983,house
Olubisi Olarewaju,UPN,Oranmiyan North,19/03/32,,Oyo,1979 - 1983,house
A. O. Omisore,UPN,Oranmiyan Central,15/02/25,,Oyo,1979 - 1983,house
Babatunde Omole,UPN,Ibadan West,10/12/24,,Oyo,1979 - 1983,house
Adesina L. Onaolapo,UPN,Ibadan South,20/01/39,,Oyo,1979 - 1983,house
J. Oyedeji Opakanmi,UPN,Iwo North,01/12/28,,Oyo,1979 - 1983,house
Olatinwo Otegbeye,,Lagelu North,,,Oyo,1979 - 1983,house
Oluwole Oyatoba,UPN,Oyo South,25/04/38,,Oyo,1979 - 1983,house
B. O. Raji,,Ibadan Central,,,Oyo,1979 - 1983,house
S. A. Siyanbola,,Ede South,,,Oyo,1979 - 1983,house
Inuwa Ali,NPN,Jos North,30/12/25,,Plateau,1979 - 1983,house
M. S. Alhaji Aliyu,NPP,Nasarawa,,,Plateau,1979 - 1983,house
Iortim Ityo,NPP,Awe,1953,,Plateau,1979 - 1983,house
John L. Laven,NPP,Langtang,02/04/37,,Plateau,1979 - 1983,house
J. Y. M. Mallo,,Akwanga,,"HND Animal Husbandry, B.A (Education & Econs)",Plateau,1979 - 1983,house
Hogan Chokwe Racha,NPP,Racha,,,Plateau,1979 - 1983,house
D. D. Dafuan,NPP,Shendam West,30/10/36,,Plateau,1979 - 1983,house
S. F. Dalyop,NPP,Jos South,05/05/36,,Plateau,1979 - 1983,house
P. C. Deme,,Barakin Ladi,,,Plateau,1979 - 1983,house
Ambrose Gapsuk,NPP,Shendam East,1942,,Plateau,1979 - 1983,house
Christopher K. Gutus,NPP,Pankshin,1946,,Plateau,1979 - 1983,house
Yakubu A. Husaini,NPN,Lafia,1942,,Plateau,1979 - 1983,house
Amos Idakula,NPP,Keffi,11/06/49,,Plateau,1979 - 1983,house
J. Yamu Marki,,Akwanga,,,Plateau,1979 - 1983,house
Mohammed D. Shuaibu,,Kanam,,,Plateau,1979 - 1983,house
Felix M. Wetkum,NPP,Mangu,1948,Grade I Teacher's Cert,Plateau,1979 - 1983,house
Abdulkadir Zakari,NPP,Wase,31/12/40,,Plateau,1979 - 1983,house
Stephen Alete,NPP,Ikwere,24/04/36,,Rivers,1979 - 1983,house
Shem E. Asuk,NPN,Bonny I,28/05/31,"Diploma in Public Admin., L.L.B, B.L",Rivers,1979 - 1983,house
P. K. Atuwo,,Sagbama,,,Rivers,1979 - 1983,house
Tubo O. Bob-Manuel,NPN,Degema II,14/12/38,Diploma Institute of Transport,Rivers,1979 - 1983,house
P. I. Egberipou,NPN,Yenagoa,28/05/31,"L.L.B, Local Govt. Admin",Rivers,1979 - 1983,house
E. Ejoh,NPP,Port Harcourt I,24/04/40,,Rivers,1979 - 1983,house
Kemte Giadom,NPN,Bori II,23/07/26,,Rivers,1979 - 1983,house
Ingo Mac-Eteli,NPN,Brass,27/07/45,,Rivers,1979 - 1983,house
Victor I. Masi,,Ahoada,,,Rivers,1979 - 1983,house
Eze O. A. Nwala,NPP,Ikwere/Etche,05/08/37,"B.A (Hons), Ph.D",Rivers,1979 - 1983,house
Dagogo Princewill,,Degema I,16/01/40,ACCA,Rivers,1979 - 1983,house
J. S. Sangha,,Bori I,20/05/42,"B. Sc in Bus. Admin, M.A (Pub. Admin)",Rivers,1979 - 1983,house
J. Taribo Sekibo,,Bonny II,28/12/44,"Diploma Agric., M.Sc",Rivers,1979 - 1983,house
Godwin Wodi,NPP,Port Harcourt II,27/01/32,,Rivers,1979 - 1983,house
M. Mamman Altine,NPN,Taganza,15/12/50,Grade II Teachers Cert,Sokoto,1979 - 1983,house
M. Bachaka,,Argungu,,,Sokoto,1979 - 1983,house
Sani B. Dala Bungudu,GNPP,Bungudu-Kotorkoshi,1948,School Cert.,Sokoto,1979 - 1983,house
Atahiru M. Dakin-Gari,GNPP,Dakin-Gari,1932,,Sokoto,1979 - 1983,house
I. Daudu,NPN,Sakaba/Wasagu,1920,,Sokoto,1979 - 1983,house
Ashiru Ruwan Dorawa,GNPP,Anka,,,Sokoto,1979 - 1983,house
Umaru Aliyu Durbawa,NPN,Darbawa/Kware,05/06/54,,Sokoto,1979 - 1983,house
Usman Gada,,Gada,,,Sokoto,1979 - 1983,house
Umaru Garu,NPN,Goronyo,04/05/53,,Sokoto,1979 - 1983,house
Garba Gizori,GNPP,Tambawal,,,Sokoto,1979 - 1983,house
M. Aliyu Gummi,NPN,Gummi,1925,Teacher Grade II Cert.,Sokoto,1979 - 1983,house
Shehu Hamzat,NPN,Gwadabawa,30/12/51,,Sokoto,1979 - 1983,house
Garba Jega,NPN,Sokoto,1944,Local Govt Admin Cert.,Sokoto,1979 - 1983,house
M. Mijinyawa,NPN,Chafe,1944,,Sokoto,1979 - 1983,house
Abdullahi Mohammed,NPN,Zurmi-Moriki,,,Sokoto,1979 - 1983,house
Aliya Mohammed Rahab,,Illela,,,Sokoto,1979 - 1983,house
Isa Rilwanu,,Gandi/Fakai,10/02/40,Teacher Grade II Cert,Sokoto,1979 - 1983,house
Usman Sanni,,K/Namoda,,,Sokoto,1979 - 1983,house
Ali Na Alhaji Shehu,,Birni Kebbi,,,Sokoto,1979 - 1983,house
Mohammadu Shera,,Arewa-Dandi,,Diploma in Vet. Sci,Sokoto,1979 - 1983,house
Ibrahim Shuaibu,,Dunge-Shuni,,,Sokoto,1979 - 1983,house
Umaru A. Shuni,,Aghida/Wurno,,,Sokoto,1979 - 1983,house
Ibrahim Sudan,NPN,Maradun,04/12/49,Teachers Grade II,Sokoto,1979 - 1983,house
Ahawadu Wali Binji,NPN,Binji-Silame,,,Sokoto,1979 - 1983,house
Garba M. Tambari,NPN,Maradun,1957,,Sokoto,1979 - 1983,house
Ahmed T. Wamako,NPN,Cumbi-Wamakko,1925,,Sokoto,1979 - 1983,house
Maiturare Yabo,NPN,Yabo,12/12/48,,Sokoto,1979 - 1983,house
Mohammed A. Yelwa,GNPP,Yauri,20/07/1937,Teachers Grade II,Sokoto,1979 - 1983,house
Bello Mohammed,NPN,Illela,10/04/53,,Sokoto,1979 - 1983,house
Musa Abdullahi Jega,GNPP,Maiyawa,1952,,Sokoto,1979 - 1983,house
Sani Dandare Kalgo,NPN,Bunza-Kalgo,05/04/48,,Sokoto,1979 - 1983,house
Mohammadu Ladan,NPN,Bodinga,01/06/44,,Sokoto,1979 - 1983,house
Aliyu Lugga,NPN,Gusau,,,Sokoto,1979 - 1983,house
Abdulmumuni Mafara,NPN,Talata Mafara,11/11/51,OND General Agric,Sokoto,1979 - 1983,house
I. Gwadabawa,NPN,Gwadabawa,1943,"NCE, Teachers Grade II",Sokoto,1979 - 1983,house
Obi Onyeabo,NPP,Anambra West,20/11/1938,"WASC, GCE Advance Level, (L.L.B)",Anambra,1983 - 1983,senate
Ani Isaiah Nnamani,NPP,Anambra North,16/06/1933,,Anambra,1983 - 1983,senate
Udenze Chukwuemeka,NPP,Anambra,,,Anambra,1983 - 1983,senate
Onwudiwe Edwin,NPP,Anambra,,,Anambra,1983 - 1983,senate
Nwanko Andrew Ogbonna,,Anambra,,,Anambra,1983 - 1983,senate
Dimis Ibrahim,NPN,Bauchi South,01/10/1927,Privately Educated,Bauchi,1983 - 1983,senate
Waziri Ibrahim Jalo,NPN,Bauchi East,1926,,Bauchi,1983 - 1983,senate
Rufa'i Ahmadu Damyama,NPN,Bauchi Central,August 1919,,Bauchi,1983 - 1983,senate
Mohammed Adamu Ambi,NPN,Bauchi,,,Bauchi,1983 - 1983,senate
Tuggar Abubakar,NPN,Bauchi,,,Bauchi,1983 - 1983,senate
Dafinone David Omueya,NPN,Bendel South,12/03/1927,"Diploma in Public Admin., B.Sc Econs, Chartered Accountant",Bendel,1983 - 1983,senate
Umolu John Osiomele,UPN,Bendel North,1919,,Bendel,1983 - 1983,senate
Afegbua Franca Adiza,,Bendel,,,Bendel,1983 - 1983,senate
Iyahen Sunday Osarumwense,,Bendel,,,Bendel,1983 - 1983,senate
Ikpo Nosike,UPN,Bendel East,21/03/1933,,Bendel,1983 - 1983,senate
Ali Amadu Adah,NPN,Benue West,01/03/1936,"MB, BS (London), Post Graduate Studies",Benue,1983 - 1983,senate
Abutu Abubakar D.,NPN,Benue South Central,17/01/1937,Diploma Industrial Relations,Benue,1983 - 1983,senate
Hagher Iyorwuese,NPN,Benue,,,Benue,1983 - 1983,senate
Ogiri Adejo,NPN,Benue,,,Benue,1983 - 1983,senate
Tilley-Gyado Jacob,NPN,Benue,,,Benue,1983 - 1983,senate
Lawan Mohammed Girigiri,NPN,Borno-North-West,19/09/1944,Business Administration,Borno,1983 - 1983,senate
Kadi Idrisa,NPN,Yerwa,1926,"Diploma in Arabic, English & History",Borno,1983 - 1983,senate
Mangga Ja'afar Jarafu,GNPP,Borno North,15/10/1933,"B.A. (Hons) Education, Diploma (Guidance & Counselling) (NCE)",Borno,1983 - 1983,senate
Sanda Bukar,NPN,Borno West,1940,"Teachers Grade II, Teachers Grade III, NCE",Borno,1983 - 1983,senate
M. Zanna Kachalla,,Borno,,,Borno,1983 - 1983,senate
Ansa Joseph Oqua,GNPP,Calabar,20/07/1940,"GCE O/L & A/L, Dip Cert., Accountancy & Commercial",Cross River,1983 - 1983,senate
Daniel George Asuquo,GNPP,Uyo,30/07/1931,B.Sc Econs.,Cross River,1983 - 1983,senate
Wayas Joseph,NPN,Ogoja,21/05/1941,B.Sc Econs.,Cross River,1983 - 1983,senate
Akan Victor,NPN,Eket,1938,,Cross River,1983 - 1983,senate
Akpabio Nsima,NPN,C/River,,,Cross River,1983 - 1983,senate
Kajal Bitrus Bzigu,GNPP,Mubi,15/05/1943,B.A Administration,Gongola,1983 - 1983,senate
Waziri Mahmud,GNPP,Adamawa,13/12/1936,"Dip. in Mgt. Studies, Dip. in Transport Studies, Dip. in Business Admin.",Gongola,1983 - 1983,senate
Audu Rueben John,,Gongola,,,Gongola,1983 - 1983,senate
Abdulmumini Jungudo S.,,Gongola,,,Gongola,1983 - 1983,senate
Sawa Randrawus,,,,,Gongola,1983 - 1983,senate
Echeruo Emeka Patrick,NPP,Okigwe,11/06/1939,"B.Sc, Aff. ASAE, AMNIM",Imo,1983 - 1983,senate
Ojukwu Simeon Mba,NPP,Umuahia,03/03/1921,"Graduate L.L.B, B.L",Imo,1983 - 1983,senate
Wachukwu Jaja Anucha,NPP,Aba,01/01/1918,L.L.B,Imo,1983 - 1983,senate
Nzeribe Arthur Francis,,Imo,,,Imo,1983 - 1983,senate
Ukpabi Christopher,,Imo,,,Imo,1983 - 1983,senate
Bauru Ibrahim,PRP,Ikara/Zaria/Birnin Gwari,07/01/1936,Pharmacist,Kaduna,1983 - 1983,senate
Madaki Jacob Kure,NPN,Kachia/Jemaa/Saminaka,August 1938,,Kaduna,1983 - 1983,senate
,,,,,Kaduna,1983 - 1983,senate
,,,,,Kaduna,1983 - 1983,senate
,,,,,Kaduna,1983 - 1983,senate
Zuwo Sabo Bakin,PRP,Kano Central,1934,Local Govt Admin,Kano,1983 - 1983,senate
,,,,,Kano,1983 - 1983,senate
,,,,,Kano,1983 - 1983,senate
,,,,,Kano,1983 - 1983,senate
,,,,,Kano,1983 - 1983,senate
Obaro Isa,NPN,Kwara South,20/08/1934,"B.Sc, LLB & BL",Kwara,1983 - 1983,senate
Olu Justus Olabode,UPN,Kwara South East,28/03/1930,Grade II Cert A/L,Kwara,1983 - 1983,senate
Saraki Abubakar Olusola,NPN,Ilorin/Asa,17/05/1933,"M.B, B.S, L.R.C.P, M.R.C.S (ENG)",Kwara,1983 - 1983,senate
Salawu Suleiman Adisa,,Kwara Central,,,Kwara,1983 - 1983,senate
,,,,,Kwara,1983 - 1983,senate
Shitta-Bey Sikiru Ayodeji,UPN,Lagos,26/06/1931,"B.L. Law, L.L.B",Lagos,1983 - 1983,senate
Durosimi Abayomi Adeyosola,UPN,Badagry,01/01/1935,,Lagos,1983 - 1983,senate
Ajayi Adeyiga Omopenu,UPN,Ikeja,06/06/1939,,Lagos,1983 - 1983,senate
Adebanjo Mufutau Olatunde,UPN,Lagos,,,Lagos,1983 - 1983,senate
Ogidan Jimoh Kolawale,,Lagos,,,Lagos,1983 - 1983,senate
Gana Jerry Alhassan,,,,,Niger,1983 - 1983,senate
Ibrahim Idris Kuta,,,,,Niger,1983 - 1983,senate
Magaji Abubakar,NPN,Suleja (Formerly Abuja),03/12/1936,,Niger,1983 - 1983,senate
Muazu Abdullahi,NPN,Kontagora,1924,,Niger,1983 - 1983,senate
,,,,,Niger,1983 - 1983,senate
Adesanya Abraham Aderibigbe,UPN,Ijebu North-East,24/08/1924,,Ogun,1983 - 1983,senate
Odebiyi Jonathan A. Olawole,UPN,Egbado North/South,11/03/1923,B.A (Hons),Ogun,1983 - 1983,senate
Sogbein Samuel Olusanmi,UPN,Odeda/Obafemi/Owode,10/12/1920,,Ogun,1983 - 1983,senate
Odujinrin Oladipo Olusoga,UPN,,,,Ogun,1983 - 1983,senate
Agunbiade L. Adekunle,,,,,Ogun,1983 - 1983,senate
Ogunleye Emmanuel Kayode,UPN,Ondo East,06/05/1934,"L.L.B, B.L",Ondo,1983 - 1983,senate
Fasanmi Ayo,UPN,Ondo North,27/09/1925,,Ondo,1983 - 1983,senate
Adeshakin Olagunju,UPN,Ondo,,,Ondo,1983 - 1983,senate
